"column","variable","label","value_labels","class","type","n_na","range"
"16","income","Parent Reported: Yearly household income -- Note: prefer not to answer (pna) marked NA - see pna database for which were pna rather than missing NA re-leveled in R to start with 0","c(`Less than $20,000` = 0, `$20,000 - $35,999` = 1, `$36,000 - $50,999` = 2, `$51,000 - $75,999` = 3, `$76,000 - $100,000` = 4, `More than $100,000` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","3","c(0, 5)"
"17","parent_ed","Parent Reported: Parent education re-leveled in R to start with 0","c(`High School or GED (12 years)` = 0, `Associate's Degree (14 years)` = 1, `Technical or Vocational School (14 years)` = 2, `Bachelor's Degree (16 years)` = 3, `Master's Degree (18 years)` = 4, `Ph.D. (20+ years)` = 5, `M.D. (20+ years)` = 6, `J.D. (20+ years)` = 7, Other = 8)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 5)"
"18","parent_ed_other","Parent Reported: Parent specify education if other","NULL","character","character","0","c("""", """")"
"19","partner_ed","Parent Reported: Partner education re-leveled in R to start with 0","c(`High School or GED (12 years)` = 0, `Associate's Degree (14 years)` = 1, `Technical or Vocational School (14 years)` = 2, `Bachelor's Degree (16 years)` = 3, `Master's Degree (18 years)` = 4, `Ph.D. (20+ years)` = 5, `M.D. (20+ years)` = 6, `J.D. (20+ years)` = 7, Other = 8)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","6","c(0, 8)"
"20","partner_ed_other","Parent Reported: Partner specify education if other","NULL","character","character","0","c("""", ""medical Assistant Degree"")"
"21","bmi","bmi calculated in R package using scripted average height and weight","NULL","numeric","double","0","c(13.52, 19.33)"
"22","bmi_percentile","BMI percentile updated: calculated using childsds R package and scripted average height and weight","NULL","numeric","double","0","c(3.91, 89.49)"
"23","bmi_z","BMI-z/sds calculated using childsds R package","NULL","numeric","double","0","c(-1.76, 1.25)"
"24","weight_status","Child weight status using CDC BMI percentile cutoffs","c(UW = -99, HW = 0, OW = 1, OB = 2)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(-99, 1)"
"25","dad_weight_status","Dad weight status using CDC cutoffs","c(UW = -99, HW = 0, OW = 1, `C1-OB` = 2, `C2-OB` = 3, `C3-Severe OB` = 4)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(0, 4)"
"26","mom_weight_status","Mom weight status using CDC cutoffs","c(UW = -99, HW = 0, OW = 1, `C1-OB` = 2, `C2-OB` = 3, `C3-Severe OB` = 4)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","1","c(0, 4)"
"27","v1_freddy_pre_meal","Visit 1 - Freddy Score - EAH Pre-Meal","NULL","numeric","double","0","c(0, 125)"
"28","v1_freddy_post_meal","Visit 1 - Freddy Score - EAH Post-Meal","NULL","numeric","double","0","c(27, 150)"
"29","v1_freddy_pre_want","Visit 1 - Freddy Score - EAH Pre-Wanting","NULL","numeric","double","56","c(71, 150)"
"30","v1_freddy_pre_eah","Visit 1 - Freddy Score - EAH Pre-Snack","NULL","numeric","double","0","c(2, 150)"
"31","v1_freddy_post_eah","Visit 1 - Freddy Score - EAH Post-Snack","NULL","numeric","double","0","c(25, 150)"
"32","v1_vas_practice","Visit 1 - EAH VAS Practice","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","23","c(1, 5)"
"33","v1_vas_popcorn","Visit 1 - EAH VAS Popcorn","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(2, 5)"
"34","v1_vas_pretzle","Visit 1 - EAH VAS Pretzel","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(3, 5)"
"35","v1_vas_cornchip","Visit 1 - EAH VAS Corn Chip","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"36","v1_vas_cookie","Visit 1 - EAH VAS Chocolate Chip Cookie","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(3, 5)"
"37","v1_vas_brownie","Visit 1 - EAH VAS Brownie","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(3, 5)"
"38","v1_vas_starburst","Visit 1 - EAH VAS Starburst","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"39","v1_vas_skittle","Visit 1 - EAH VAS Skittle","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"40","v1_vas_hershey","Visit 1 - EAH VAS Hershey Kiss","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(2, 5)"
"41","v1_vas_icecream","Visit 1 - EAH VAS Vanilla Ice Cream","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(3, 5)"
"42","v1_vas_pbj_sndwch","Visit 1 - EAH VAS PBJ Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"43","v1_vas_ham_sndwch","Visit 1 - EAH VAS Ham and Cheese Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"44","v1_vas_turkey_sndwch","Visit 1 - EAH VAS Turkey and Cheese Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"45","v1_vas_cheese_sndwch","Visit 1 - EAH VAS Cheese Sandwich","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"46","v1_vas_applesauce","Visit 1 - EAH VAS Applesauce","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"47","v1_vas_potatoechip","Visit 1 - EAH VAS Potato Chip","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(2, 5)"
"48","v1_vas_babycarrot","Visit 1 - EAH VAS Carrot","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"49","v1_vash_oreo","Visit 1 - EAH VAS Oreo","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(2, 5)"
"50","v1_vas_milk","Visit 1 - EAH VAS Milk","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"51","v1_vas_water","Visit 1 - EAH VAS Water","c(`Hate It` = 1, `Dislike It` = 2, `It's Okay` = 3, `Like It` = 4, `Love It` = 5)","c(""haven_labelled"", ""vctrs_vctr"", ""double"")","double","0","c(1, 5)"
"52","v1_meal_start","Visit 1 - EAH Pre-Meal","NULL","character","character","0","c(""1:05"", ""7:25"")"
"53","v1_meal_end","Visit 1 - End Time:","NULL","character","character","0","c("" 12:06"", ""7:55"")"
"54","v1_meal_dur","Visit 1 - EAH - Pre-Meal Duration","NULL","numeric","double","0","c(8, 30)"
"55","v1_noplate_applesauce_g","Visit 1 - Meal Applesauce: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(82.33, 117.88)"
"56","v1_plate_applesauce_g","Visit 1 - Meal Applesauce: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(173.8, 466.29)"
"57","v1_post_applesauce_g","Visit 1 - Meal Applesauce: Post-Weight","NULL","numeric","double","0","c(90.35, 382.58)"
"58","v1_consumed_applesauce_g","Visit 1 - Meal Applesauce: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0.120000000000005, 110.56)"
"59","v1_consumed_applesauce_kcal","Visit 1 - std_meal applesauce: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0.053400000000002, 49.1992)"
"60","v1_noplate_carrot_g","Visit 1 - Meal Carrots: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(31.81, 104.65)"
"61","v1_plate_carrot_g","Visit 1 - Meal Carrots: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(127.48, 221.81)"
"62","v1_post_carrot_g","Visit 1 - Meal Carrots: Post-Weight","NULL","numeric","double","0","c(89.54, 221.59)"
"63","v1_consumed_carrot_g","Visit 1 - Meal Carrots: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 78.19)"
"64","v1_consumed_carrot_kcal","Visit 1 - std_meal carrot: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 32.60523)"
"65","v1_noplate_cheese_sndwch_g","Visit 1 - Meal Cheese Sandwich: Pre-Weight w/o Plate","NULL","numeric","double","0","c(76.94, 100.76)"
"66","v1_plate_cheese_sndwch_g","Visit 1 - Meal Cheese Sandwich: Pre-Weight w/ Plate","NULL","numeric","double","0","c(234.62, 449.33)"
"67","v1_post_cheese_sndwch_g","Visit 1 - Meal Cheese Sandwich: Post-Weight","NULL","numeric","double","0","c(185.79, 449.13)"
"68","v1_consumed_cheese_sndwch_g","Visit 1 - Meal Cheese Sandwich: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 107.37)"
"69","v1_consumed_cheese_sndwch_kcal","Visit 1 - std_meal cheese_sndwch: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 295.80435)"
"70","v1_noplate_cookies_g","Visit 1 - Meal Cookies: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(19.75, 24.87)"
"71","v1_plate_cookies_g","Visit 1 - Meal Cookies: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(110.41, 369.79)"
"72","v1_post_cookies_g","Visit 1 - Meal Cookies: Post-Weight","NULL","numeric","double","0","c(89.59, 348.49)"
"73","v1_consumed_cookies_g","Visit 1 - Meal Cookies: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 24.84)"
"74","v1_consumed_cookies_kcal","Visit 1 - std_meal cookies: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 120.3498)"
"75","v1_noplate_ham_sndwch_g","Visit 1 - Meal Ham Sandwich: Pre-Weight w/o Plate","NULL","numeric","double","0","c(115.15, 188.18)"
"76","v1_plate_ham_sndwch_g","Visit 1 - Meal Ham Sandwich: Pre-Weight w/ Plate","NULL","numeric","double","0","c(326.15, 539.46)"
"77","v1_post_ham_sndwch_g","Visit 1 - Meal Ham Sandwich: Post-Weight","NULL","numeric","double","0","c(323.73, 535.4)"
"78","v1_consumed_ham_sndwch_g","Visit 1 - Meal Ham Sandwich: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 172.37)"
"79","v1_consumed_ham_sndwch_kcal","Visit 1 - std_meal ham_sndwch: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 380.59296)"
"80","v1_noplate_milk_g","Visit 1 - Meal Milk: Pre-Weight of Container","NULL","numeric","double","2","c(0, 298.19)"
"81","v1_plate_milk_g","Visit 1 - Meal Milk: Pre-Weight of Container with Milk","NULL","numeric","double","1","c(0, 352.94)"
"82","v1_post_milk_g","Visit 1 - Meal Milk: Post-Weight","NULL","numeric","double","1","c(0, 340.87)"
"83","v1_consumed_milk_g","Visit 1 - Meal Milk: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","1","c(0, 288.69)"
"84","v1_consumed_milk_kcal","Visit 1 - std_meal milk: Amount Consumed kcal - calculated in R","NULL","numeric","double","1","c(0, 156.18129)"
"85","v1_noplate_pbj_sndwch_g","Visit 1 - Meal PBJ Sandwich: Pre-Weight w/o Plate","NULL","numeric","double","0","c(84.65, 153.39)"
"86","v1_plate_pbj_sndwch_g","Visit 1 - Meal PBJ Sandwich: Pre-Weight w/ Plate","NULL","numeric","double","0","c(258.55, 507.3)"
"87","v1_post_pbj_sndwch_g","Visit 1 - Meal PBJ Sandwich: Post-Weight","NULL","numeric","double","1","c(175.86, 493.01)"
"88","v1_consumed_pbj_sndwch_g","Visit 1 - Meal PBJ Sandwich: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","1","c(0, 158.05)"
"89","v1_consumed_pbj_sndwch_kcal","Visit 1 - std_meal pbj_sndwch: Amount Consumed kcal - calculated in R","NULL","numeric","double","1","c(0, 545.43055)"
"90","v1_noplate_potatochip_g","Visit 1 - Meal Potato Chips: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(29.41, 31.88)"
"91","v1_plate_potatochip_g","Visit 1 - Meal Potato Chips: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(193.63, 214.59)"
"92","v1_post_potatochip_g","Visit 1 - Meal Potato Chips: Post-Weight","NULL","numeric","double","0","c(163.39, 208.83)"
"93","v1_consumed_potatochip_g","Visit 1 - Meal Potato Chips: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 31.48)"
"94","v1_consumed_potatochip_kcal","Visit 1 - std_meal potatochip: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 179.84524)"
"95","v1_noplate_turkey_sndwch_g","Visit 1 - Meal Turkey Sandwich: Pre-Weight w/o Plate","NULL","numeric","double","0","c(123.28, 196.65)"
"96","v1_plate_turkey_sndwch_g","Visit 1 - Meal Turkey Sandwich: Pre-Weight w/ Plate","NULL","numeric","double","0","c(325.67, 547.93)"
"97","v1_post_turkey_sndwch_g","Visit 1 - Meal Turkey Sandwich: Post-Weight","NULL","numeric","double","0","c(194.01, 546.43)"
"98","v1_consumed_turkey_sndwch_g","Visit 1 - Meal Turkey Sandwich: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 173.9)"
"99","v1_consumed_turkey_sndwch_kcal","Visit 1 - std_meal turkey_sndwch: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 361.3642)"
"100","v1_noplate_ketchup_g","Visit 1 - Meal Ketchup: Pre-Weight w/o Plate","NULL","numeric","double","0","c(8.99, 21.01)"
"101","v1_plate_ketchup_g","Visit 1 - Meal Ketchup: Pre-Weight w/ Plate","NULL","numeric","double","0","c(11.1, 366.62)"
"102","v1_post_ketchup_g","Visit 1 - Meal Ketchup: Post-Weight","NULL","numeric","double","0","c(5.63, 366.62)"
"103","v1_consumed_ketchup_g","Visit 1 - Meal Ketchup: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 15.51)"
"104","v1_consumed_ketchup_kcal","Visit 1 - std_meal ketchup: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 17.23161)"
"105","v1_noplate_mayo_g","Visit 1 - Meal Mayo: Pre-Weight w/o Plate","NULL","numeric","double","1","c(13.08, 26.97)"
"106","v1_plate_mayo_g","Visit 1 - Meal Mayo: Pre-Weight w/ Plate","NULL","numeric","double","1","c(15.26, 374.62)"
"107","v1_post_mayo_g","Visit 1 - Meal Mayo: Post-Weight","NULL","numeric","double","1","c(6.45, 374.62)"
"108","v1_consumed_mayo_g","Visit 1 - Meal Mayo: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","1","c(0, 20.04)"
"109","v1_consumed_mayo_kcal","Visit 1 - std_meal mayo: Amount Consumed kcal - calculated in R","NULL","numeric","double","1","c(0, 145.45032)"
"110","v1_noplate_mustard_g","Visit 1 - Meal Mustard: Pre-Weight w/o Plate","NULL","numeric","double","0","c(6.08, 14.68)"
"111","v1_plate_mustard_g","Visit 1 - Meal Mustard: Pre-Weight w/ Plate","NULL","numeric","double","0","c(8.28, 360.05)"
"112","v1_post_mustard_g","Visit 1 - Meal Mustard: Post-Weight","NULL","numeric","double","0","c(8.28, 360.05)"
"113","v1_consumed_mustard_g","Visit 1 - Meal Mustard: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 4.11)"
"114","v1_consumed_mustard_kcal","Visit 1 - std_meal mustard: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 0)"
"115","v1_meal_total_g","Visit 1 - std_meal Total: Amount Consumed g - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","3","c(57.8200000000001, 762.67)"
"116","v1_meal_total_kcal","Visit 1 - std_meal Total: Amount Consumed kcal - calculated in R. Set to NA if not all foods had available data","NULL","numeric","double","3","c(55.81334, 1272.0787)"
"117","v1_noplate_brownies_g","Visit 1 - EAH Brownies: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(52.77, 58.83)"
"118","v1_plate_brownies_g","Visit 1 - EAH Brownies: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(170.65, 241.84)"
"119","v1_post_brownies_g","Visit 1 - EAH Brownies: Post-Weight","NULL","numeric","double","0","c(156.48, 241.74)"
"120","v1_consumed_brownies_g","Visit 1 - EAH Brownies: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 57.84)"
"121","v1_consumed_brownies_kcal","Visit 1 - EAH brownies: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 252.41376)"
"122","v1_noplate_cornchips_g","Visit 1 - EAH Corn Chips: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(56.76, 59.8)"
"123","v1_plate_cornchips_g","Visit 1 - EAH Corn Chips: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(170.73, 241.43)"
"124","v1_post_cornchips_g","Visit 1 - EAH Corn Chips: Post-Weight","NULL","numeric","double","0","c(166.61, 239.91)"
"125","v1_consumed_cornchips_g","Visit 1 - EAH Corn Chips: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 22.35)"
"126","v1_consumed_cornchips_kcal","Visit 1 - EAH cornchips: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 127.55145)"
"127","v1_noplate_hersheys_g","Visit 1 - EAH Hershey's Kisses: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(59.67, 70.56)"
"128","v1_plate_hersheys_g","Visit 1 - EAH Hershey's Kisses: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(180.08, 251.66)"
"129","v1_post_hersheys_g","Visit 1 - EAH Hershey's Kisses: Post-Weight","NULL","numeric","double","0","c(161.74, 249.24)"
"130","v1_consumed_hersheys_g","Visit 1 - EAH Hershey's Kisses: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 66.36)"
"131","v1_consumed_hersheys_kcal","Visit 1 - EAH hersheys: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 331.8)"
"132","v1_noplate_icecream_g","Visit 1 - EAH Ice Cream: Pre-Weight w/o Bowl","NULL","numeric","double","1","c(0, 161.26)"
"133","v1_plate_icecream_g","Visit 1 - EAH Ice Cream: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(0, 230.89)"
"134","v1_post_icecream_g","Visit 1 - EAH Ice Cream: Post-Weight","NULL","numeric","double","1","c(0, 227.78)"
"135","v1_consumed_icecream_g","Visit 1 - EAH Ice Cream: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","1","c(0, 51.17)"
"136","v1_consumed_icecream_kcal","Visit 1 - EAH icecream: Amount Consumed kcal - calculated in R","NULL","numeric","double","1","c(0, 95.94375)"
"137","v1_noplate_oreos_g","Visit 1 - EAH Oreos: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(66.32, 72.14)"
"138","v1_plate_oreos_g","Visit 1 - EAH Oreos: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(68.31, 251.88)"
"139","v1_post_oreos_g","Visit 1 - EAH Oreos: Post-Weight","NULL","numeric","double","0","c(181.09, 251.78)"
"140","v1_consumed_oreos_g","Visit 1 - EAH Oreos: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 46.03)"
"141","v1_consumed_oreos_kcal","Visit 1 - EAH oreos: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 216.89336)"
"142","v1_noplate_popcorn_g","Visit 1 - EAH Popcorn: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(14.98, 15.83)"
"143","v1_plate_popcorn_g","Visit 1 - EAH Popcorn: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(127.65, 198.22)"
"144","v1_post_popcorn_g","Visit 1 - EAH Popcorn: Post-Weight","NULL","numeric","double","0","c(108.73, 198.22)"
"145","v1_consumed_popcorn_g","Visit 1 - EAH Popcorn: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 72.36)"
"146","v1_consumed_popcorn_kcal","Visit 1 - EAH popcorn: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 410.06412)"
"147","v1_noplate_pretzels_g","Visit 1 - EAH Pretzels: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(34.11, 40.53)"
"148","v1_plate_pretzels_g","Visit 1 - EAH Pretzels: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(39.59, 222.92)"
"149","v1_post_pretzels_g","Visit 1 - EAH Pretzels: Post-Weight","NULL","numeric","double","0","c(155.23, 220.93)"
"150","v1_consumed_pretzels_g","Visit 1 - EAH Pretzels: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 15.93)"
"151","v1_consumed_pretzels_kcal","Visit 1 - EAH pretzels: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 62.49339)"
"152","v1_noplate_skittles_g","Visit 1 - EAH Skittles: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(65.89, 67.82)"
"153","v1_plate_skittles_g","Visit 1 - EAH Skittles: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(189.01, 249.53)"
"154","v1_post_skittles_g","Visit 1 - EAH Skittles: Post-Weight","NULL","numeric","double","0","c(156.54, 249.2)"
"155","v1_consumed_skittles_g","Visit 1 - EAH Skittles: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 51.93)"
"156","v1_consumed_skittles_kcal","Visit 1 - EAH skittles: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 207.72)"
"157","v1_noplate_starbursts_g","Visit 1 - EAH Starbursts: Pre-Weight w/o Bowl","NULL","numeric","double","0","c(58.93, 70.25)"
"158","v1_plate_starbursts_g","Visit 1 - EAH Starbursts: Pre-Weight w/ Bowl","NULL","numeric","double","0","c(183.42, 250.96)"
"159","v1_post_starbursts_g","Visit 1 - EAH Starbursts: Post-Weight","NULL","numeric","double","0","c(157.1, 247.2)"
"160","v1_consumed_starbursts_g","Visit 1 - EAH Starbursts: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 54.91)"
"161","v1_consumed_starbursts_kcal","Visit 1 - EAH starbursts: Amount Consumed kcal - calculated in R","NULL","numeric","double","0","c(0, 219.64)"
"162","v1_noplate_water_g","Visit 1 - EAH Water: Pre-Weight of Container","NULL","numeric","double","0","c(226.23, 296.34)"
"163","v1_plate_water_g","Visit 1 - EAH Water: Pre-Weight of Container with Water","NULL","numeric","double","0","c(268.94, 337.95)"
"164","v1_post_water_g","Visit 1 - EAH Water: Post-Weight","NULL","numeric","double","0","c(34.48, 324.36)"
"165","v1_consumed_water_g","Visit 1 - EAH Water: Amount Consumed - recalcuated difference in R with values < 0 set to 0","NULL","numeric","double","0","c(0, 262.26)"
